FID,FID_1,GEOID,Count_,GEOID_1,partyRatio,GEOID_12,HHmedIncom,GEOID_1_13,normScore,Count_1,Sum_FID_,Sum_X_Long,Sum_Y_Lati
148,148,12001000500,1,12001000500,0.137354283,12001000500,37941,12001000500,0.602122,1,0,-82.32278,29.65195
149,149,12093910402,0,12093910402,0,12093910402,47708,12093910402,0.790209,0,0,0,0
150,150,12061050704,1,12061050704,1.569709127,12061050704,41386,12061050704,0.925589,0,0,0,0
151,151,12061050806,0,12061050806,1.509090909,12061050806,44512,12061050806,0.742738,0,0,0,0
152,152,12061050807,0,12061050807,0,12061050807,49186,12061050807,0.901174,0,0,0,0
153,153,12061050903,0,12061050903,0,12061050903,46396,12061050903,0.890263,0,0,0,0
154,154,12061050805,0,12061050805,1.380382775,12061050805,42500,12061050805,0.799566,0,0,0,0
155,155,12061050904,0,12061050904,1.466211604,12061050904,40417,12061050904,0.655858,0,0,0,0
156,156,12053040701,0,12053040701,2.15408805,12053040701,48598,12053040701,0.907034,0,0,0,0
157,157,12053040901,0,12053040901,1.342342342,12053040901,39906,12053040901,0.748206,0,0,0,0
158,158,12099007836,1,12099007836,0.617579383,12099007836,64678,12099007836,0.441396,0,0,0,0
159,159,12099006007,0,12099006007,0.343801653,12099006007,42976,12099006007,0.417373,0,0,0,0
160,160,12099001907,0,12099001907,0.475164011,12099001907,40500,12099001907,0.457313,0,0,0,0
161,161,12099007301,0,12099007301,1.364583333,12099007301,69190,12099007301,0.645556,0,0,0,0
162,162,12001000600,0,12001000600,0.041530945,12001000600,30049,12001000600,0.777536,0,0,0,0
163,163,12011060302,0,12011060302,0.036193029,12011060302,30657,12011060302,0.755767,0,0,0,0
164,164,12011060304,0,12011060304,0.027190332,12011060304,34250,12011060304,0.872205,0,0,0,0
165,165,12011020210,0,12011020210,0.637844612,12011020210,63056,12011020210,0.571616,0,0,0,0
166,166,12011060127,0,12011060127,0.134228188,12011060127,41675,12011060127,0.422249,0,0,0,0
167,167,12103023200,0,12103023200,0.512242899,12103023200,68053,12103023200,0.797818,0,0,0,0
168,168,12103023300,0,12103023300,0.37944664,12103023300,49500,12103023300,0.780333,0,0,0,0
169,169,12103023400,0,12103023400,0,12103023400,40234,12103023400,0.672914,0,0,0,0
170,170,12103023500,0,12103023500,0.316647264,12103023500,36470,12103023500,0.723166,0,0,0,0
171,171,12103023600,0,12103023600,0.532998114,12103023600,36106,12103023600,0.92797,0,0,0,0
172,172,12103023700,0,12103023700,0.469665272,12103023700,109345,12103023700,0.816154,0,0,0,0
173,173,12103023800,0,12103023800,0.553376906,12103023800,86786,12103023800,0.904886,0,0,0,0
174,174,12103023900,0,12103023900,0.603932584,12103023900,51771,12103023900,0.825203,0,0,0,0
175,175,12103024001,0,12103024001,1.236923077,12103024001,111370,12103024001,0.972261,0,0,0,0
176,176,12103024002,0,12103024002,0.949344458,12103024002,82454,12103024002,0.834494,0,0,0,0
177,177,12103024004,0,12103024004,1.208609272,12103024004,108007,12103024004,0.7081,0,0,0,0
178,178,12075970600,0,12075970600,1.13546798,12075970600,42036,12075970600,0.512799,1,0,-82.44560004,29.38764323
179,179,12075970700,0,12075970700,2.50877193,12075970700,30345,12075970700,0.933526,0,0,0,0
180,180,12075970500,0,12075970500,2.644135189,12075970500,52573,12075970500,0.905034,0,0,0,0
181,181,12075970400,0,12075970400,1.992518703,12075970400,34156,12075970400,0.980101,0,0,0,0
182,182,12091020500,0,12091020500,2.828431373,12091020500,55607,12091020500,0.567737,1,0,-86.5706856,30.76175238
183,183,12055961500,0,12055961500,2.809610154,12055961500,36597,12055961500,0.75546,0,0,0,0
184,184,12055961700,0,12055961700,0,12055961700,31957,12055961700,0.798777,0,0,0,0
185,185,12055961000,0,12055961000,2.455182073,12055961000,44242,12055961000,0.876216,0,0,0,0
186,186,12091020400,1,12091020400,0,12091020400,49226,12091020400,0.72502,0,0,0,0
187,187,12083001700,0,12083001700,0,12083001700,21831,12083001700,0.520366,0,0,0,0
188,188,12083001800,1,12083001800,0.058252427,12083001800,18784,12083001800,0.806099,1,0,-82.14041,29.18775
189,189,12091021400,0,12091021400,0,12091021400,50047,12091021400,0.500618,0,0,0,0
190,190,12091021600,0,12091021600,3.49122807,12091021600,72730,12091021600,0.841189,0,0,0,0
191,191,12091022800,0,12091022800,0,12091022800,38924,12091022800,0.451454,0,0,0,0
192,192,12091020600,0,12091020600,2.138828633,12091020600,70759,12091020600,0.560447,0,0,0,0
193,193,12091020100,0,12091020100,6.5,12091020100,61064,12091020100,0.876106,0,0,0,0
194,194,12091021102,0,12091021102,3.059095106,12091021102,69632,12091021102,0.686982,0,0,0,0
195,195,12115002713,5,12115002713,1.875981478,12115002713,85291,12115002713,0.939109,0,0,0,0
196,196,12091020200,0,12091020200,5.672897196,12091020200,46583,12091020200,0.753293,0,0,0,0
197,197,12091020800,4,12091020800,2.670654775,12091020800,77177,12091020800,0.557007,0,0,0,0
198,198,12091020700,0,12091020700,1.897816594,12091020700,62228,12091020700,0.582136,0,0,0,0
199,199,12115002712,0,12115002712,1.519013666,12115002712,60514,12115002712,0.751018,0,0,0,0
200,200,12115001503,0,12115001503,0,12115001503,68359,12115001503,0.860066,0,0,0,0
201,201,12115002718,1,12115002718,1.51440678,12115002718,58112,12115002718,0.859743,0,0,0,0
202,202,12113010502,0,12113010502,3.02188392,12113010502,61563,12113010502,0.678516,0,0,0,0
